   Ion        dE/dx       dE/dx      Projected    Longitudinal   Lateral
  Energy      Elec.      Nuclear        Range      Straggling   Straggling
 (MeV/u)     (MeV/um)   (MeV/um)        (um)          (um)         (um)
----------- ----------- ----------- ------------- ------------  ---------

5.263600e-04    4.791000e-02    1.759000e-01    4.020000e-02    1.410000e-02    1.020000e-02
5.789960e-04    5.025000e-02    1.737000e-01    4.390000e-02    1.520000e-02    1.100000e-02
6.316320e-04    5.249000e-02    1.714000e-01    4.760000e-02    1.630000e-02    1.180000e-02
6.842680e-04    5.463000e-02    1.691000e-01    5.140000e-02    1.740000e-02    1.250000e-02
7.369040e-04    5.669000e-02    1.668000e-01    5.510000e-02    1.840000e-02    1.330000e-02
7.895400e-04    5.868000e-02    1.646000e-01    5.890000e-02    1.950000e-02    1.410000e-02
8.421761e-04    6.061000e-02    1.624000e-01    6.260000e-02    2.060000e-02    1.480000e-02
8.948121e-04    6.247000e-02    1.602000e-01    6.640000e-02    2.160000e-02    1.560000e-02
9.474481e-04    6.428000e-02    1.580000e-01    7.020000e-02    2.270000e-02    1.630000e-02
1.052720e-03    6.776000e-02    1.539000e-01    7.790000e-02    2.470000e-02    1.790000e-02
1.184310e-03    7.187000e-02    1.490000e-01    8.760000e-02    2.730000e-02    1.970000e-02
1.315900e-03    7.576000e-02    1.444000e-01    9.730000e-02    2.970000e-02    2.160000e-02
1.447490e-03    7.945000e-02    1.401000e-01    1.071000e-01    3.220000e-02    2.350000e-02
1.579080e-03    8.299000e-02    1.360000e-01    1.170000e-01    3.460000e-02    2.530000e-02
1.710670e-03    8.638000e-02    1.323000e-01    1.270000e-01    3.690000e-02    2.720000e-02
1.842260e-03    8.964000e-02    1.287000e-01    1.370000e-01    3.920000e-02    2.900000e-02
1.973850e-03    9.278000e-02    1.254000e-01    1.470000e-01    4.150000e-02    3.090000e-02
2.105440e-03    1.015000e-01    1.223000e-01    1.569000e-01    4.360000e-02    3.270000e-02
2.368620e-03    1.150000e-01    1.165000e-01    1.763000e-01    4.760000e-02    3.640000e-02
2.631800e-03    1.224000e-01    1.114000e-01    1.954000e-01    5.140000e-02    3.990000e-02
2.894980e-03    1.265000e-01    1.067000e-01    2.145000e-01    5.500000e-02    4.330000e-02
3.158160e-03    1.288000e-01    1.025000e-01    2.338000e-01    5.850000e-02    4.670000e-02
3.421340e-03    1.303000e-01    9.867000e-02    2.534000e-01    6.200000e-02    5.000000e-02
3.684520e-03    1.314000e-01    9.516000e-02    2.732000e-01    6.550000e-02    5.330000e-02
4.210880e-03    1.338000e-01    8.895000e-02    3.137000e-01    7.240000e-02    5.970000e-02
4.737240e-03    1.371000e-01    8.362000e-02    3.550000e-01    7.910000e-02    6.610000e-02
5.263600e-03    1.414000e-01    7.899000e-02    3.966000e-01    8.560000e-02    7.240000e-02
5.789960e-03    1.467000e-01    7.493000e-02    4.383000e-01    9.180000e-02    7.870000e-02
6.316320e-03    1.529000e-01    7.132000e-02    4.798000e-01    9.760000e-02    8.480000e-02
6.842680e-03    1.597000e-01    6.810000e-02    5.209000e-01    1.032000e-01    9.080000e-02
7.369040e-03    1.670000e-01    6.519000e-02    5.613000e-01    1.084000e-01    9.670000e-02
7.895400e-03    1.746000e-01    6.256000e-02    6.011000e-01    1.133000e-01    1.024000e-01
8.421761e-03    1.825000e-01    6.017000e-02    6.401000e-01    1.178000e-01    1.079000e-01
8.948121e-03    1.905000e-01    5.798000e-02    6.782000e-01    1.221000e-01    1.132000e-01
9.474481e-03    1.986000e-01    5.596000e-02    7.156000e-01    1.261000e-01    1.183000e-01
1.052720e-02    2.147000e-01    5.238000e-02    7.879000e-01    1.336000e-01    1.279000e-01
1.184310e-02    2.345000e-01    4.858000e-02    8.739000e-01    1.418000e-01    1.390000e-01
1.315900e-02    2.536000e-01    4.536000e-02    9.556000e-01    1.489000e-01    1.490000e-01
1.447490e-02    2.718000e-01    4.259000e-02    1.030000e+00    1.551000e-01    1.581000e-01
1.579080e-02    2.890000e-01    4.018000e-02    1.110000e+00    1.606000e-01    1.665000e-01
1.710670e-02    3.054000e-01    3.806000e-02    1.180000e+00    1.655000e-01    1.741000e-01
1.842260e-02    3.209000e-01    3.618000e-02    1.250000e+00    1.699000e-01    1.811000e-01
1.973850e-02    3.356000e-01    3.450000e-02    1.310000e+00    1.739000e-01    1.877000e-01
2.105440e-02    3.496000e-01    3.299000e-02    1.380000e+00    1.775000e-01    1.938000e-01
2.368620e-02    3.759000e-01    3.037000e-02    1.500000e+00    1.843000e-01    2.047000e-01
2.631800e-02    4.001000e-01    2.818000e-02    1.620000e+00    1.901000e-01    2.144000e-01
2.894980e-02    4.229000e-01    2.631000e-02    1.730000e+00    1.951000e-01    2.231000e-01
3.158160e-02    4.445000e-01    2.470000e-02    1.840000e+00    1.996000e-01    2.309000e-01
3.421340e-02    4.652000e-01    2.330000e-02    1.940000e+00    2.035000e-01    2.380000e-01
3.684520e-02    4.854000e-01    2.206000e-02    2.040000e+00    2.071000e-01    2.445000e-01
4.210880e-02    5.246000e-01    1.998000e-02    2.220000e+00    2.140000e-01    2.559000e-01
4.737240e-02    5.628000e-01    1.829000e-02    2.400000e+00    2.197000e-01    2.657000e-01
5.263600e-02    6.008000e-01    1.689000e-02    2.560000e+00    2.245000e-01    2.742000e-01
5.789960e-02    6.387000e-01    1.571000e-02    2.720000e+00    2.286000e-01    2.816000e-01
6.316320e-02    6.767000e-01    1.470000e-02    2.870000e+00    2.322000e-01    2.882000e-01
6.842680e-02    7.147000e-01    1.382000e-02    3.000000e+00    2.353000e-01    2.941000e-01
7.369040e-02    7.526000e-01    1.305000e-02    3.140000e+00    2.380000e-01    2.993000e-01
7.895400e-02    7.905000e-01    1.236000e-02    3.260000e+00    2.404000e-01    3.041000e-01
8.421761e-02    8.282000e-01    1.176000e-02    3.380000e+00    2.426000e-01    3.084000e-01
8.948121e-02    8.655000e-01    1.121000e-02    3.500000e+00    2.445000e-01    3.123000e-01
9.474481e-02    9.024000e-01    1.072000e-02    3.610000e+00    2.462000e-01    3.158000e-01
1.052720e-01    9.745000e-01    9.860000e-03    3.820000e+00    2.501000e-01    3.221000e-01
1.184310e-01    1.060000e+00    8.979000e-03    4.060000e+00    2.545000e-01    3.287000e-01
1.315900e-01    1.140000e+00    8.253000e-03    4.290000e+00    2.582000e-01    3.342000e-01
1.447490e-01    1.212000e+00    7.644000e-03    4.500000e+00    2.613000e-01    3.390000e-01
1.579080e-01    1.278000e+00    7.126000e-03    4.700000e+00    2.640000e-01    3.431000e-01
