   Ion       dE/dx      dE/dx     Projected   Longitudinal   Lateral
  Energy     Elec.      Nuclear     Range     Straggling    Straggling
  (MeV)     (MeV/um)    (MeV/um)    (um)         (um)          (um)
---------- ---------- ----------  ----------  ------------  -----------
  10.00E-03   4.283E-02  8.659E-04    2625E-04      697E-04      723E-04
  11.00E-03   4.480E-02  8.096E-04    2826E-04      718E-04      754E-04
  12.00E-03   4.667E-02  7.610E-04    3021E-04      737E-04      783E-04
  13.00E-03   4.844E-02  7.185E-04    3211E-04      754E-04      810E-04
  14.00E-03   5.014E-02  6.810E-04    3395E-04      770E-04      834E-04
  15.00E-03   5.176E-02  6.476E-04    3574E-04      784E-04      858E-04
  16.00E-03   5.330E-02  6.178E-04    3749E-04      798E-04      879E-04
  17.00E-03   5.478E-02  5.908E-04    3920E-04      810E-04      900E-04
  18.00E-03   5.620E-02  5.663E-04    4088E-04      821E-04      919E-04
  20.00E-03   5.886E-02  5.236E-04    4412E-04      843E-04      955E-04
  22.50E-03   6.189E-02  4.793E-04    4802E-04      866E-04      995E-04
  25.00E-03   6.463E-02  4.425E-04    5176E-04      887E-04     1031E-04
  27.50E-03   6.710E-02  4.115E-04    5537E-04      905E-04     1064E-04
  30.00E-03   6.933E-02  3.849E-04    5888E-04      921E-04     1094E-04
  32.50E-03   7.135E-02  3.618E-04    6229E-04      936E-04     1122E-04
  35.00E-03   7.316E-02  3.416E-04    6562E-04      949E-04     1148E-04
  37.50E-03   7.479E-02  3.237E-04    6889E-04      962E-04     1172E-04
  40.00E-03   7.625E-02  3.078E-04    7209E-04      973E-04     1195E-04
  45.00E-03   7.871E-02  2.806E-04    7836E-04      996E-04     1237E-04
  50.00E-03   8.062E-02  2.582E-04    8447E-04     1016E-04     1276E-04
  55.00E-03   8.207E-02  2.393E-04    9047E-04     1035E-04     1311E-04
  60.00E-03   8.312E-02  2.233E-04    9640E-04     1052E-04     1345E-04
  65.00E-03   8.382E-02  2.094E-04    1.02E+00     1068E-04  	1376E-04
  70.00E-03   8.422E-02  1.972E-04    1.08E+00     1083E-04  	1406E-04
  80.00E-03   8.431E-02  1.771E-04    1.20E+00     1117E-04  	1463E-04
  90.00E-03   8.367E-02  1.609E-04    1.32E+00     1150E-04  	1517E-04
 100.00E-03   8.252E-02  1.476E-04    1.43E+00     1181E-04  	1568E-04
 110.00E-03   8.101E-02  1.365E-04    1.56E+00     1211E-04  	1618E-04
 120.00E-03   7.929E-02  1.271E-04    1.68E+00     1241E-04  	1667E-04
 130.00E-03   7.743E-02  1.189E-04    1.80E+00     1271E-04  	1716E-04
 140.00E-03   7.550E-02  1.119E-04    1.93E+00     1301E-04  	1765E-04
 150.00E-03   7.355E-02  1.056E-04    2.07E+00     1331E-04  	1814E-04
 160.00E-03   7.161E-02  1.001E-04    2.20E+00     1362E-04  	1864E-04
 170.00E-03   6.971E-02  9.518E-05    2.34E+00     1393E-04  	1914E-04
 180.00E-03   6.787E-02  9.074E-05    2.49E+00     1425E-04  	1966E-04
 200.00E-03   6.437E-02  8.307E-05    2.79E+00     1520E-04  	2071E-04
 225.00E-03   6.041E-02  7.524E-05    3.19E+00     1663E-04  	2208E-04
 250.00E-03   5.688E-02  6.884E-05    3.61E+00     1810E-04  	2353E-04
 275.00E-03   5.376E-02  6.351E-05    4.06E+00     1962E-04  	2506E-04
 300.00E-03   5.100E-02  5.899E-05    4.54E+00     2118E-04  	2668E-04
 325.00E-03   4.854E-02  5.511E-05    5.04E+00     2278E-04  	2838E-04
 350.00E-03   4.634E-02  5.174E-05    5.56E+00     2443E-04  	3016E-04
 375.00E-03   4.436E-02  4.878E-05    6.11E+00     2612E-04  	3203E-04
 400.00E-03   4.258E-02  4.616E-05    6.68E+00     2785E-04  	3399E-04
 450.00E-03   3.949E-02  4.173E-05    7.90E+00     3366E-04  	3814E-04
 500.00E-03   3.691E-02  3.812E-05    9.20E+00     3934E-04  	4261E-04
 550.00E-03   3.471E-02  3.511E-05   10.59E+00     4497E-04  	4739E-04
 600.00E-03   3.283E-02  3.257E-05   12.07E+00     5060E-04  	5244E-04
 650.00E-03   3.119E-02  3.040E-05   13.62E+00     5623E-04  	5777E-04
 700.00E-03   2.976E-02  2.851E-05   15.26E+00     6189E-04  	6336E-04
 800.00E-03   2.738E-02  2.539E-05   18.75E+00     8114E-04  	7525E-04
