   Ion        dE/dx       dE/dx      Projected    Longitudinal   Lateral
  Energy      Elec.      Nuclear        Range      Straggling   Straggling
 (MeV/u)     (MeV/um)   (MeV/um)        (um)          (um)         (um)
----------- ----------- ----------- ------------- ------------  ---------

4.955475e-04    4.296000e-02    1.993000e-01    3.760000e-02    1.320000e-02    9.600000e-03
5.451023e-04    4.506000e-02    1.973000e-01    4.100000e-02    1.420000e-02    1.030000e-02
5.946570e-04    4.706000e-02    1.953000e-01    4.440000e-02    1.530000e-02    1.100000e-02
6.442118e-04    4.898000e-02    1.931000e-01    4.780000e-02    1.630000e-02    1.180000e-02
6.937665e-04    5.083000e-02    1.910000e-01    5.120000e-02    1.730000e-02    1.250000e-02
7.433213e-04    5.262000e-02    1.888000e-01    5.470000e-02    1.830000e-02    1.320000e-02
7.928760e-04    5.434000e-02    1.866000e-01    5.820000e-02    1.930000e-02    1.390000e-02
8.424308e-04    5.601000e-02    1.844000e-01    6.170000e-02    2.030000e-02    1.460000e-02
8.919855e-04    5.764000e-02    1.823000e-01    6.520000e-02    2.130000e-02    1.530000e-02
9.910950e-04    6.076000e-02    1.781000e-01    7.230000e-02    2.320000e-02    1.670000e-02
1.114982e-03    6.444000e-02    1.730000e-01    8.120000e-02    2.570000e-02    1.840000e-02
1.238869e-03    6.793000e-02    1.683000e-01    9.020000e-02    2.800000e-02    2.020000e-02
1.362756e-03    7.124000e-02    1.637000e-01    9.940000e-02    3.040000e-02    2.190000e-02
1.486643e-03    7.441000e-02    1.594000e-01    1.086000e-01    3.270000e-02    2.370000e-02
1.610529e-03    7.745000e-02    1.554000e-01    1.178000e-01    3.500000e-02    2.540000e-02
1.734416e-03    8.037000e-02    1.516000e-01    1.272000e-01    3.730000e-02    2.720000e-02
1.858303e-03    8.319000e-02    1.479000e-01    1.366000e-01    3.950000e-02    2.890000e-02
1.982190e-03    8.595000e-02    1.445000e-01    1.461000e-01    4.170000e-02    3.060000e-02
2.229964e-03    9.962000e-02    1.382000e-01    1.648000e-01    4.590000e-02    3.410000e-02
2.477738e-03    1.097000e-01    1.324000e-01    1.832000e-01    4.980000e-02    3.760000e-02
2.725511e-03    1.172000e-01    1.273000e-01    2.014000e-01    5.340000e-02    4.100000e-02
2.973285e-03    1.230000e-01    1.225000e-01    2.196000e-01    5.700000e-02    4.430000e-02
3.221059e-03    1.276000e-01    1.182000e-01    2.378000e-01    6.040000e-02    4.750000e-02
3.468833e-03    1.313000e-01    1.142000e-01    2.560000e-01    6.370000e-02    5.070000e-02
3.964380e-03    1.371000e-01    1.071000e-01    2.929000e-01    7.030000e-02    5.690000e-02
4.459928e-03    1.419000e-01    1.009000e-01    3.302000e-01    7.660000e-02    6.300000e-02
4.955475e-03    1.462000e-01    9.559000e-02    3.679000e-01    8.270000e-02    6.900000e-02
5.451023e-03    1.504000e-01    9.085000e-02    4.058000e-01    8.860000e-02    7.490000e-02
5.946570e-03    1.547000e-01    8.664000e-02    4.440000e-01    9.430000e-02    8.070000e-02
6.442118e-03    1.592000e-01    8.286000e-02    4.822000e-01    9.980000e-02    8.640000e-02
6.937665e-03    1.639000e-01    7.944000e-02    5.203000e-01    1.051000e-01    9.200000e-02
7.433213e-03    1.688000e-01    7.634000e-02    5.583000e-01    1.102000e-01    9.750000e-02
7.928760e-03    1.738000e-01    7.351000e-02    5.961000e-01    1.151000e-01    1.029000e-01
8.424308e-03    1.791000e-01    7.091000e-02    6.337000e-01    1.197000e-01    1.082000e-01
8.919855e-03    1.845000e-01    6.852000e-02    6.709000e-01    1.242000e-01    1.134000e-01
9.910950e-03    1.958000e-01    6.425000e-02    7.440000e-01    1.327000e-01    1.234000e-01
1.114982e-02    2.105000e-01    5.970000e-02    8.328000e-01    1.423000e-01    1.352000e-01
1.238869e-02    2.256000e-01    5.584000e-02    9.185000e-01    1.509000e-01    1.463000e-01
1.362756e-02    2.410000e-01    5.250000e-02    1.000000e+00    1.586000e-01    1.565000e-01
1.486643e-02    2.563000e-01    4.960000e-02    1.080000e+00    1.654000e-01    1.661000e-01
1.610529e-02    2.717000e-01    4.703000e-02    1.160000e+00    1.716000e-01    1.750000e-01
1.734416e-02    2.868000e-01    4.476000e-02    1.230000e+00    1.771000e-01    1.832000e-01
1.858303e-02    3.018000e-01    4.271000e-02    1.300000e+00    1.821000e-01    1.909000e-01
1.982190e-02    3.165000e-01    4.087000e-02    1.370000e+00    1.867000e-01    1.981000e-01
2.229964e-02    3.452000e-01    3.768000e-02    1.500000e+00    1.951000e-01    2.111000e-01
2.477738e-02    3.727000e-01    3.501000e-02    1.620000e+00    2.022000e-01    2.226000e-01
2.725511e-02    3.990000e-01    3.273000e-02    1.740000e+00    2.083000e-01    2.328000e-01
2.973285e-02    4.243000e-01    3.076000e-02    1.850000e+00    2.135000e-01    2.420000e-01
3.221059e-02    4.486000e-01    2.903000e-02    1.950000e+00    2.182000e-01    2.502000e-01
3.468833e-02    4.719000e-01    2.751000e-02    2.050000e+00    2.223000e-01    2.577000e-01
3.964380e-02    5.163000e-01    2.495000e-02    2.240000e+00    2.300000e-01    2.708000e-01
4.459928e-02    5.580000e-01    2.287000e-02    2.420000e+00    2.363000e-01    2.819000e-01
4.955475e-02    5.977000e-01    2.114000e-02    2.580000e+00    2.416000e-01    2.916000e-01
5.451023e-02    6.358000e-01    1.967000e-02    2.740000e+00    2.461000e-01    2.999000e-01
5.946570e-02    6.726000e-01    1.842000e-02    2.880000e+00    2.500000e-01    3.074000e-01
6.442118e-02    7.084000e-01    1.732000e-02    3.020000e+00    2.535000e-01    3.140000e-01
6.937665e-02    7.433000e-01    1.637000e-02    3.150000e+00    2.565000e-01    3.199000e-01
7.433213e-02    7.775000e-01    1.552000e-02    3.280000e+00    2.591000e-01    3.253000e-01
7.928760e-02    8.110000e-01    1.476000e-02    3.400000e+00    2.616000e-01    3.302000e-01
8.424308e-02    8.438000e-01    1.408000e-02    3.520000e+00    2.637000e-01    3.346000e-01
8.919855e-02    8.760000e-01    1.347000e-02    3.640000e+00    2.657000e-01    3.387000e-01
9.910950e-02    9.386000e-01    1.240000e-02    3.850000e+00    2.700000e-01    3.460000e-01
1.114982e-01    1.013000e+00    1.130000e-02    4.100000e+00    2.749000e-01    3.537000e-01
1.238869e-01    1.084000e+00    1.040000e-02    4.340000e+00    2.790000e-01    3.602000e-01
1.362756e-01    1.149000e+00    9.635000e-03    4.560000e+00    2.825000e-01    3.658000e-01
1.486643e-01    1.210000e+00    8.986000e-03    4.770000e+00    2.856000e-01    3.707000e-01
