   Ion         dE/dx       dE/dx     Projected   Longitudinal   Lateral
  Energy       Elec.      Nuclear      Range      Straggling   Straggling
  (MeV/u)     (MeV/um)   (MeV/um)      (um)          (um)        (um)
------------  ---------- ----------- -----------  -----------  -----------
6.2500e-04   5.739E-02  1.445E-01     435E-04	   156E-04	113E-04
6.8750e-04   6.019E-02  1.420E-01     476E-04	   168E-04	122E-04
7.5000e-04   6.286E-02  1.395E-01     517E-04	   180E-04	130E-04
8.1250e-04   6.543E-02  1.371E-01     558E-04	   192E-04	139E-04
8.7500e-04   6.790E-02  1.347E-01     599E-04	   204E-04	148E-04
9.3750e-04   7.028E-02  1.325E-01     640E-04	   216E-04	156E-04
1.0000e-03   7.259E-02  1.302E-01     681E-04	   227E-04	165E-04
1.0625e-03   7.482E-02  1.281E-01     723E-04	   238E-04	173E-04
1.1250e-03   7.699E-02  1.260E-01     764E-04	   250E-04	182E-04
1.2500e-03   8.116E-02  1.221E-01     848E-04	   271E-04	199E-04
1.3750e-03   8.608E-02  1.175E-01     953E-04	   298E-04	220E-04
1.5625e-03   9.073E-02  1.133E-01    1058E-04	   324E-04	240E-04
1.6875e-03   9.516E-02  1.094E-01    1164E-04	   349E-04	261E-04
1.8750e-03   9.939E-02  1.058E-01    1269E-04	   374E-04	281E-04
2.0000e-03   1.035E-01  1.025E-01    1375E-04	   397E-04	301E-04
2.1875e-03   1.071E-01  9.940E-02    1481E-04	   420E-04	321E-04
2.3125e-03   1.104E-01  9.652E-02    1588E-04	   443E-04	341E-04
2.5000e-03   1.132E-01  9.383E-02    1694E-04	   465E-04	360E-04
2.8125e-03   1.183E-01  8.896E-02    1908E-04	   507E-04	399E-04
3.1250e-03   1.228E-01  8.464E-02    2123E-04	   549E-04	437E-04
3.4375e-03   1.268E-01  8.080E-02    2339E-04	   588E-04	474E-04
3.7500e-03   1.307E-01  7.734E-02    2555E-04	   627E-04	511E-04
4.0625e-03   1.344E-01  7.421E-02    2772E-04	   664E-04	547E-04
4.3750e-03   1.379E-01  7.137E-02    2989E-04	   699E-04	583E-04
5.0000e-03   1.449E-01  6.639E-02    3423E-04	   768E-04	653E-04
5.6250e-03   1.518E-01  6.215E-02    3854E-04	   833E-04	720E-04
6.2500e-03   1.585E-01  5.850E-02    4282E-04	   893E-04	785E-04
6.8750e-03   1.652E-01  5.532E-02    4705E-04	   949E-04	849E-04
7.5000e-03   1.718E-01  5.251E-02    5122E-04	  1002E-04	909E-04
8.1250e-03   1.783E-01  5.002E-02    5534E-04	  1051E-04	968E-04
8.7500e-03   1.847E-01  4.778E-02    5941E-04	  1097E-04     1025E-04
9.3750e-03   1.910E-01  4.576E-02    6340E-04	  1141E-04     1079E-04
1.0000e-02   1.973E-01  4.393E-02    6734E-04	  1182E-04     1131E-04
1.0625e-02   2.034E-01  4.226E-02    7121E-04	  1221E-04     1182E-04
1.1250e-02   2.095E-01  4.073E-02    7502E-04	  1257E-04     1231E-04
1.2500e-02   2.214E-01  3.802E-02    8247E-04	  1326E-04     1323E-04
1.4063e-02   2.359E-01  3.516E-02    9144E-04	  1404E-04     1429E-04
1.5625e-02   2.499E-01  3.275E-02    1.00E+00	  1473E-04     1526E-04
1.7188e-02   2.636E-01  3.069E-02    1.08E+00	  1534E-04     1616E-04
1.8750e-02   2.770E-01  2.889E-02    1.16E+00	  1588E-04     1698E-04
2.0313e-02   2.901E-01  2.733E-02    1.24E+00	  1637E-04     1775E-04
2.1875e-02   3.029E-01  2.594E-02    1.32E+00	  1682E-04     1846E-04
2.3438e-02   3.155E-01  2.470E-02    1.39E+00	  1722E-04     1912E-04
2.5000e-02   3.279E-01  2.358E-02    1.46E+00	  1759E-04     1973E-04
2.8125e-02   3.523E-01  2.166E-02    1.59E+00	  1829E-04     2085E-04
3.1250e-02   3.760E-01  2.006E-02    1.72E+00	  1888E-04     2184E-04
3.4375e-02   3.994E-01  1.871E-02    1.84E+00	  1939E-04     2272E-04
3.7500e-02   4.224E-01  1.754E-02    1.95E+00	  1983E-04     2351E-04
4.0625e-02   4.451E-01  1.652E-02    2.06E+00	  2022E-04     2422E-04
4.3750e-02   4.676E-01  1.563E-02    2.17E+00	  2057E-04     2486E-04
5.0000e-02   5.118E-01  1.413E-02    2.36E+00	  2124E-04     2598E-04
5.6250e-02   5.553E-01  1.291E-02    2.54E+00	  2179E-04     2693E-04
6.2500e-02   5.980E-01  1.191E-02    2.71E+00	  2224E-04     2774E-04
6.8750e-02   6.401E-01  1.106E-02    2.87E+00	  2262E-04     2844E-04
7.5000e-02   6.813E-01  1.033E-02    3.01E+00	  2294E-04     2906E-04
8.1250e-02   7.217E-01  9.706E-03    3.15E+00	  2322E-04     2960E-04
8.7500e-02   7.611E-01  9.156E-03    3.29E+00	  2346E-04     3008E-04
9.3750e-02   7.995E-01  8.671E-03    3.41E+00	  2368E-04     3051E-04
1.0000e-01   8.367E-01  8.239E-03    3.53E+00	  2387E-04     3090E-04
1.0625e-01   8.727E-01  7.851E-03    3.65E+00	  2404E-04     3125E-04
1.1250e-01   9.074E-01  7.501E-03    3.76E+00	  2420E-04     3157E-04
1.2500e-01   9.727E-01  6.894E-03    3.97E+00	  2456E-04     3214E-04
1.4062e-01   1.046E+00  6.271E-03    4.21E+00	  2499E-04     3274E-04
1.5625e-01   1.110E+00  5.758E-03    4.44E+00	  2534E-04     3325E-04
1.7188e-01   1.165E+00  5.329E-03    4.66E+00	  2566E-04     3369E-04
1.8750e-01   1.212E+00  4.964E-03    4.87E+00	  2594E-04     3407E-04
2.0312e-01   1.251E+00  4.649E-03    5.07E+00	  2619E-04     3442E-04
2.1875e-01   1.283E+00  4.374E-03    5.27E+00	  2642E-04     3473E-04
2.3438e-01   1.309E+00  4.133E-03    5.46E+00	  2664E-04     3502E-04
2.5000e-01   1.329E+00  3.918E-03    5.65E+00	  2684E-04     3529E-04
2.8125e-01   1.357E+00  3.554E-03    6.02E+00	  2748E-04     3577E-04
3.1250e-01   1.372E+00  3.256E-03    6.38E+00	  2807E-04     3620E-04
3.4375e-01   1.376E+00  3.007E-03    6.75E+00	  2863E-04     3659E-04
3.7500e-01   1.374E+00  2.796E-03    7.11E+00	  2918E-04     3696E-04
4.0625e-01   1.368E+00  2.614E-03    7.47E+00	  2972E-04     3731E-04
4.3750e-01   1.358E+00  2.456E-03    7.84E+00	  3025E-04     3764E-04
5.0000e-01   1.332E+00  2.194E-03    8.58E+00	  3217E-04     3826E-04
5.6250e-01   1.303E+00  1.986E-03    9.34E+00	  3404E-04     3885E-04
